sol,timestamp,air_temp,ground_temp,pressure,uv_index,humidity
1,2012-08-07,-71.2,-54.3,725.0,5.2,0.8
5,2012-08-11,-68.5,-51.7,728.3,4.9,0.9
10,2012-08-16,-73.1,-58.2,722.1,5.5,0.7
15,2012-08-21,-65.4,-49.8,731.0,4.7,1.0
20,2012-08-26,-69.8,-53.1,726.5,5.1,0.8
25,2012-08-31,-72.3,-56.7,720.8,5.8,0.6
30,2012-09-05,-66.9,-50.4,729.2,4.8,0.9
35,2012-09-10,-70.5,-54.9,724.7,5.3,0.7
40,2012-09-15,-74.2,-59.1,718.3,6.0,0.5
45,2012-09-20,-67.8,-51.2,727.6,4.6,1.1
50,2012-09-25,-71.6,-55.5,723.4,5.4,0.8
55,2012-09-30,-63.1,-47.3,733.8,4.2,1.3
60,2012-10-05,-75.8,-60.4,715.2,6.3,0.4
65,2012-10-10,-69.3,-52.8,726.1,5.0,0.9
70,2012-10-15,-73.7,-57.9,719.5,5.7,0.6
75,2012-10-20,-66.2,-49.1,730.4,4.5,1.0
80,2012-10-25,-70.9,-55.2,724.0,5.2,0.7
85,2012-10-30,-68.1,-52.0,727.3,4.8,0.9
90,2012-11-04,-72.8,-57.3,720.1,5.6,0.6
95,2012-11-09,-64.7,-48.5,732.0,4.3,1.2
100,2012-11-14,-76.3,-61.2,713.8,6.5,0.3
105,2012-11-19,-69.9,-53.6,725.4,5.1,0.8
110,2012-11-24,-67.4,-50.7,728.7,4.7,1.0
115,2012-11-29,-71.2,-55.0,723.2,5.3,0.7
120,2012-12-04,-74.8,-59.7,717.1,6.1,0.5
125,2012-12-09,-65.9,-49.4,730.9,4.4,1.1
130,2012-12-14,-70.3,-54.5,725.1,5.2,0.8
135,2012-12-19,-73.4,-58.0,719.8,5.8,0.6
140,2012-12-24,-67.1,-51.0,728.0,4.8,0.9
145,2012-12-29,-69.7,-53.3,726.3,5.0,0.8
150,2013-01-03,-72.1,-56.5,721.5,5.5,0.7
155,2013-01-08,-66.5,-49.8,729.7,4.6,1.0
160,2013-01-13,-75.2,-60.0,716.0,6.2,0.4
165,2013-01-18,-68.8,-52.4,727.0,4.9,0.9
170,2013-01-23,-71.8,-55.8,722.7,5.4,0.7
175,2013-01-28,-64.3,-48.0,732.5,4.2,1.2
180,2013-02-02,-73.9,-58.5,718.9,5.9,0.5
185,2013-02-07,-67.6,-50.9,728.4,4.7,0.9
190,2013-02-12,-70.7,-54.7,724.3,5.2,0.8
195,2013-02-17,-69.1,-52.9,726.7,5.0,0.8
200,2013-02-22,-72.5,-56.9,721.0,5.6,0.6
205,2013-02-27,-66.8,-50.2,729.4,4.5,1.0
210,2013-03-04,-74.6,-59.5,717.5,6.1,0.5
215,2013-03-09,-68.3,-52.1,727.5,4.8,0.9
220,2013-03-14,-71.4,-55.3,723.0,5.3,0.7
225,2013-03-19,-65.5,-48.7,731.3,4.3,1.1
230,2013-03-24,-73.2,-57.6,720.3,5.7,0.6
235,2013-03-29,-67.9,-51.5,728.1,4.8,0.9
240,2013-04-03,-70.1,-54.1,725.5,5.1,0.8
245,2013-04-08,-68.6,-52.6,727.2,4.9,0.9
250,2013-04-13,-72.9,-57.1,720.6,5.6,0.6
255,2013-04-18,-66.1,-49.5,730.1,4.4,1.0
260,2013-04-23,-75.5,-60.7,714.5,6.4,0.4
265,2013-04-28,-69.5,-53.1,726.0,5.0,0.8
270,2013-05-03,-71.0,-55.1,723.4,5.3,0.7
275,2013-05-08,-64.8,-48.2,732.2,4.2,1.2
280,2013-05-13,-73.6,-58.3,719.2,5.8,0.5
285,2013-05-18,-67.3,-50.5,729.0,4.6,1.0
290,2013-05-23,-70.8,-54.8,724.1,5.2,0.8
295,2013-05-28,-69.4,-53.0,726.5,5.0,0.8
300,2013-06-02,-72.3,-56.6,721.2,5.5,0.7
310,2013-06-12,-25.3,-15.2,740.5,3.1,2.8
320,2013-06-22,-68.1,-51.8,727.7,4.8,0.9
330,2013-07-02,-71.7,-55.6,722.5,5.4,0.7
340,2013-07-12,-95.8,-82.4,685.2,8.9,0.1
350,2013-07-22,-66.4,-49.9,730.0,4.5,1.0
360,2013-07-28,-69.2,-53.0,726.4,5.0,0.8
370,2013-08-07,-130.5,-110.8,590.1,14.2,0.0
380,2013-08-17,-68.5,-51.5,727.8,4.8,0.9
390,2013-08-27,-71.3,-55.2,723.1,5.3,0.7
400,2013-09-06,-72.8,-57.0,720.8,5.6,0.6
410,2013-09-16,-15.1,-5.8,755.3,2.0,4.5
420,2013-09-26,-67.7,-50.6,728.5,4.7,0.9
430,2013-10-06,-70.4,-54.0,725.2,5.1,0.8
440,2013-10-16,-73.1,-57.7,719.9,5.7,0.6
450,2013-10-26,-65.8,-49.0,731.1,4.4,1.1
460,2013-11-05,-69.8,-53.4,726.2,5.0,0.8
470,2013-11-15,-72.0,-56.2,721.8,5.5,0.7
480,2013-11-25,-67.0,-50.3,729.3,4.6,1.0
490,2013-12-05,-74.3,-59.3,717.8,6.0,0.5
500,2013-12-15,-68.9,-52.5,727.1,4.9,0.9
